PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,On1.stopped,On2.started,text_2.started,On2.stopped,On3.started,text_3.started,On3.stopped,On4.started,text_4.started,On4.stopped,On5.started,text_5.started,On5.stopped,On6.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,,,,,0,1,1,1,,,,,,,,,,,,,,,,,76.41446890000043,,,,,,,,,,,,,,,76.38681660000111,76.41446890000043,77.38367050000124,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,,,,,0,2,2,2,,,,,,,,,,,,,,,,,77.41356720000113,,,,,,,,,,,,,,,77.38402719999976,77.41356720000113,78.38509169999998,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,,,,,0,3,3,3,,,,,,,,,,,,,,,,,78.41261260000101,,,,,,,,,,,,,,,78.38555890000134,78.41261260000101,79.38248000000021,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,,,,,0,4,4,4,,,,,,,,,,,,,,,,,79.41150010000092,,,,,,,,,,,,,,,79.38279599999987,79.41150010000092,80.38309420000041,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,,,,,0,5,5,5,,,,,,,,,,,,,,,,,80.41059260000111,,,,,,,,,,,,,,,80.38341720000062,80.41059260000111,81.39698060000046,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,,,,,0,6,6,6,,,,,,,,,,,,,,,,,81.42666389999977,,,,,,,,,,,,,,,81.3973156000011,81.42666389999977,82.38113970000086,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,,,,,0,7,7,7,,,,,,,,,,,,,,,,,82.40926320000108,,,,,,,,,,,,,,,82.38140440000097,82.40926320000108,83.39514650000092,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,,,,,0,8,8,8,,,,,,,,,,,,,,,,,83.42483750000065,,,,,,,,,,,,,,,83.39548540000033,83.42483750000065,84.37732620000133,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,,,,,0,9,9,9,,,,,,,,,,,,,,,,,84.4068395000013,,,,,,,,,,,,,,,84.37763600000108,84.4068395000013,85.37689580000006,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,21,white,,,,,0,10,10,10,,,,,,,,,,,,,,,,,85.40601070000048,,,,,,,,,,,,,,,85.37717690000136,85.40601070000048,86.37701630000083,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
