PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,FInalizacion.started,FinPrueba.started,FInalizacion.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,6.529324400000405,,,,,,,,,,,,,,,6.503439399999479,6.529324400000405,6.603815200000099,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,6.629096200000276,,,,,,,,,,,,,,,6.604207000000315,6.629096200000276,6.702615000000151,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,6.729335699999865,,,,,,,,,,,,,,,6.702928299999257,6.729335699999865,6.8024549999990995,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,6.829663900000014,,,,,,,,,,,,,,,6.802857599999697,6.829663900000014,6.90262409999923,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,6.929338500000085,,,,,,,,,,,,,,,6.902919299998757,6.929338500000085,7.0029116999994585,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,7.029236500000479,,,,,,,,,,,,,,,7.003207499999917,7.029236500000479,7.102008500000011,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,1,1,1,0,9,9,9,7.129112200000236,,,,,,,,,,,,,,,7.102306699998735,7.129112200000236,7.202058200000465,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,21,white,0,1,1,1,0,10,10,10,7.228989999999612,,,,,,,,,,,,,,,7.202384099999108,7.228989999999612,7.302788799999689,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,23,blue,0,1,1,1,0,11,11,11,7.328828300000168,,,,,,,,,,,,,,,7.303088700000444,7.328828300000168,7.402127499999551,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,25,yellow,0,1,1,1,0,12,12,12,7.428863199998887,,,,,,,,,,,,,,,7.4023994999988645,7.428863199998887,7.5021285000002536,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,27,orange,0,1,1,1,0,13,13,13,7.528686999999991,,,,,,,,,,,,,,,7.502402000000075,7.528686999999991,7.601967900000091,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,29,brown,0,1,1,1,0,14,14,14,7.6287023999993835,,,,,,,,,,,,,,,7.602239399999235,7.6287023999993835,7.7021384999989095,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,31,purple,0,1,1,1,0,15,15,15,7.728516799999852,,,,,,,,,,,,,,,7.702412799999365,7.728516799999852,7.8018751999989036,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,33,green,0,1,1,1,0,16,16,16,7.828591399998913,,,,,,,,,,,,,,,7.8021477999991475,7.828591399998913,7.901614499998686,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,35,red,0,1,1,1,0,17,17,17,7.928680299999542,,,,,,,,,,,,,,,7.901945599998726,7.928680299999542,8.00200120000045,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,37,white,0,1,1,1,0,18,18,18,8.028383999999278,,,,,,,,,,,,,,,8.002299099998709,8.028383999999278,8.102149000000281,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,39,blue,0,1,1,1,0,19,19,19,8.128283099998953,,,,,,,,,,,,,,,8.102445599999555,8.128283099998953,8.201300900000206,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
