PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,On.stopped,CondicionOn.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,23,blue,0,1,1,1,0,11,11,11,13.170267299999978,,,,,,,,,,,,,,,13.038635299999441,13.195271500000672,13.170267299999978,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,25,yellow,0,1,1,1,0,12,12,12,13.258093100001133,,,,,,,,,,,,,,,13.19701680000071,13.212468100000478,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,27,orange,0,1,1,1,0,13,13,13,13.258093100001133,,,,,,,,,,,,,,,13.214098800001011,13.336395300000731,13.258093100001133,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,29,brown,0,1,1,1,0,14,14,14,13.374080800000229,,,,,,,,,,,,,,,13.338479500000176,13.470272200000181,13.374080800000229,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,31,purple,0,1,1,1,0,15,15,15,13.530018800000107,,,,,,,,,,,,,,,13.473504200001116,13.560823100000562,13.530018800000107,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,33,green,0,1,1,1,0,16,16,16,13.613317100000131,,,,,,,,,,,,,,,13.562615099999675,13.655580399999963,13.613317100000131,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,35,red,0,1,1,1,0,17,17,17,13.71302250000008,,,,,,,,,,,,,,,13.65770970000085,13.760985299999447,13.71302250000008,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,37,white,0,1,1,1,0,18,18,18,13.827351300000373,,,,,,,,,,,,,,,13.764540199999828,13.843221600000106,13.827351300000373,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,39,blue,0,1,1,1,0,19,19,19,13.926387700001214,,,,,,,,,,,,,,,13.844145799999751,13.963708200000838,13.926387700001214,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,2,2,2,0,0,0,0,15.022358300000633,,,,,,,,,,,,13.967449300000226,14.053873200000453,14.94309229999999,14.990713799999867,15.046435100000963,15.022358300000633,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,2,2,2,0,1,1,1,15.087995199999568,,,,,,,,,,,,,,,15.047991100000218,15.138474700001098,15.087995199999568,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,0,2,2,2,15.171953200000644,,,,,,,,,,,,,,,15.139611200000218,15.241552100000263,15.171953200000644,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,2,2,2,0,3,3,3,15.271787300000142,,,,,,,,,,,,,,,15.242822800000795,15.338216300000568,15.271787300000142,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,2,2,2,0,4,4,4,15.371845400000893,,,,,,,,,,,,,,,15.33934820000104,15.421451399999569,15.371845400000893,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,2,2,2,0,5,5,5,15.455180500001006,,,,,,,,,,,,,,,15.422685499999716,15.505794900000183,15.455180500001006,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,2,2,2,0,6,6,6,15.538408700000218,,,,,,,,,,,,,,,15.506950299999517,15.61903379999967,15.538408700000218,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,2,2,2,0,7,7,7,15.654934800000774,,,,,,,,,,,,,,,15.620969699999478,15.738839600000574,15.654934800000774,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,2,2,2,0,8,8,8,15.771456000000398,,,,,,,,,,,,,,,15.740091699999539,15.82179990000077,15.771456000000398,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,2,2,2,0,9,9,9,15.854892900000777,,,,,,,,,,,,,,,15.822804600000381,15.938543899999786,15.854892900000777,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,21,white,0,2,2,2,0,10,10,10,15.971540599999571,,,,,,,,,,,,,,,15.939669800000047,16.027343100000508,15.971540599999571,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,23,blue,0,2,2,2,0,11,11,11,16.07107879999967,,,,,,,,,,,,,,,16.02871100000084,16.123714299999847,16.07107879999967,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,25,yellow,0,2,2,2,0,12,12,12,16.154701499999646,,,,,,,,,,,,,,,16.124905800001216,16.23605189999944,16.154701499999646,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,27,orange,0,2,2,2,0,13,13,13,16.271311500000593,,,,,,,,,,,,,,,16.237705900000947,16.322818800001187,16.271311500000593,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,29,brown,0,2,2,2,0,14,14,14,16.354736200000843,,,,,,,,,,,,,,,16.323963200000435,16.43657660000099,16.354736200000843,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,31,purple,0,2,2,2,0,15,15,15,16.472035799999503,,,,,,,,,,,,,,,16.43811360000109,16.523194600000352,16.472035799999503,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,33,green,0,2,2,2,0,16,16,16,16.55461970000033,,,,,,,,,,,,,,,16.524230900000475,16.607874700001048,16.55461970000033,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,35,red,0,2,2,2,0,17,17,17,16.638074100001177,,,,,,,,,,,,,,,16.608902699999817,16.72178420000091,16.638074100001177,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,37,white,0,2,2,2,0,18,18,18,16.754532900000413,,,,,,,,,,,,,,,16.722847900000488,16.83853420000014,16.754532900000413,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,39,blue,0,2,2,2,0,19,19,19,16.87122620000082,,,,,,,,,,,,,,,16.839556299999458,16.93821829999979,16.87122620000082,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
