PreguntaOn,PreguntaOff,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,2,2,2,0,6,6,6,14.433592400004272,,,,,,,,,,,,,,,14.404965599998832,14.433592400004272,14.50460700000258,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,2,2,2,0,7,7,7,14.54992769999808,,,,,,,,,,,,,,,14.505836299998919,14.54992769999808,14.617972599997302,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,2,2,2,0,8,8,8,14.650615099999413,,,,,,,,,,,,,,,14.61968760000309,14.650615099999413,14.721509399998467,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,2,2,2,0,9,9,9,14.766635300002235,,,,,,,,,,,,,,,14.722868400000152,14.766635300002235,14.836514000002353,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,21,white,0,2,2,2,0,10,10,10,14.883190900000045,,,,,,,,,,,,,,,14.837900799997442,14.883190900000045,14.905515200000082,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,23,blue,0,2,2,2,0,11,11,11,14.949904499997501,,,,,,,,,,,,,,,14.90686149999965,14.949904499997501,15.0199455999973,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,25,yellow,0,2,2,2,0,12,12,12,15.06678870000178,,,,,,,,,,,,,,,15.021127799998794,15.06678870000178,15.145189000002574,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,27,orange,0,2,2,2,0,13,13,13,15.183102000002691,,,,,,,,,,,,,,,15.147328999999445,15.183102000002691,15.20556509999733,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,29,brown,0,2,2,2,0,14,14,14,15.24946820000332,,,,,,,,,,,,,,,15.206959600000118,15.24946820000332,15.315239299998211,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,31,purple,0,2,2,2,0,15,15,15,15.3497520000019,,,,,,,,,,,,,,,15.316864899999928,15.3497520000019,15.42052220000187,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,33,green,0,2,2,2,0,16,16,16,15.46598890000314,,,,,,,,,,,,,,,15.421782400000666,15.46598890000314,15.519037899997784,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,35,red,0,2,2,2,0,17,17,17,15.566354900001897,,,,,,,,,,,,,,,15.52124719999847,15.566354900001897,15.638436499997624,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,37,white,0,2,2,2,0,18,18,18,15.682415499999479,,,,,,,,,,,,,,,15.63975550000032,15.682415499999479,15.700572100002319,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,39,blue,0,2,2,2,0,19,19,19,15.732315900000685,,,,,,,,,,,,,,,15.701704600003723,15.732315900000685,15.832796700000472,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,3,3,3,0,0,0,0,16.914588500003447,,,,,,,,,,,,15.8343212999971,15.896250199999486,16.841850700002396,16.884054399997694,16.914588500003447,16.93128190000425,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,3,3,3,0,1,1,1,16.964794400002575,,,,,,,,,,,,,,,16.932580699998653,16.964794400002575,17.011275900003966,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,3,3,3,0,2,2,2,17.0480308000042,,,,,,,,,,,,,,,17.01256039999862,17.0480308000042,17.10545970000385,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,0,3,3,3,17.16470400000253,,,,,,,,,,,,,,,17.10776700000133,17.16470400000253,17.236414600003627,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
