PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,CondicionOn.stopped,CondicionOff.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,21,white,0,2,2,2,0,10,10,10,10.657359100000576,,,,,,,,,,,,,,,10.644743100000596,10.657359100000576,10.74439480000001,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,23,blue,0,2,2,2,0,11,11,11,10.77162750000025,,,,,,,,,,,,,,,10.744713500000216,10.77162750000025,10.84458370000084,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,25,yellow,0,2,2,2,0,12,12,12,10.871614300000147,,,,,,,,,,,,,,,10.844874600000367,10.871614300000147,10.94370550000076,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,27,orange,0,2,2,2,0,13,13,13,10.971663700000136,,,,,,,,,,,,,,,10.943979900000159,10.971663700000136,11.043752500000664,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,29,brown,0,2,2,2,0,14,14,14,11.05725380000058,,,,,,,,,,,,,,,11.044023700000253,11.05725380000058,11.143613800000821,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,31,purple,0,2,2,2,0,15,15,15,11.157193600000028,,,,,,,,,,,,,,,11.143907800000306,11.157193600000028,11.243857400000707,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,33,green,0,2,2,2,0,16,16,16,11.256940000000213,,,,,,,,,,,,,,,11.244158700000298,11.256940000000213,11.3436485000002,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,35,red,0,2,2,2,0,17,17,17,11.356913300000087,,,,,,,,,,,,,,,11.343928200000846,11.356913300000087,11.443981400000666,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,37,white,0,2,2,2,0,18,18,18,11.45688070000051,,,,,,,,,,,,,,,11.444248300000254,11.45688070000051,11.543880100000024,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,39,blue,0,2,2,2,0,19,19,19,11.571028900000783,,,,,,,,,,,,,,,11.544147400000838,11.571028900000783,11.643544700000348,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,3,3,3,0,0,0,0,12.670055000000502,,,,,,,,,,,,11.643935600000077,11.669227500000488,12.642850300000646,12.653622499999983,12.670055000000502,12.743008800000098,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,3,3,3,0,1,1,1,12.76990939999996,,,,,,,,,,,,,,,12.74328340000011,12.76990939999996,12.842216600000029,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,3,3,3,0,2,2,2,12.855473800000254,,,,,,,,,,,,,,,12.842504800000825,12.855473800000254,12.942179800000304,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,0,3,3,3,12.955633200000193,,,,,,,,,,,,,,,12.942505100000744,12.955633200000193,13.042253800000253,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,3,3,3,0,4,4,4,13.055531700000756,,,,,,,,,,,,,,,13.042541700000584,13.055531700000756,13.142378500000632,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,3,3,3,0,5,5,5,13.155322000000524,,,,,,,,,,,,,,,13.142695900000035,13.155322000000524,13.242452200000116,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,3,3,3,0,6,6,6,13.26931180000065,,,,,,,,,,,,,,,13.24278410000079,13.26931180000065,13.342009200000575,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,3,3,3,0,7,7,7,13.355210500000794,,,,,,,,,,,,,,,13.342305800000759,13.355210500000794,13.441744400000061,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,3,3,3,0,8,8,8,13.455042200000207,,,,,,,,,,,,,,,13.442046000000119,13.455042200000207,13.54200690000016,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,3,3,3,0,9,9,9,13.55499140000029,,,,,,,,,,,,,,,13.54227390000051,13.55499140000029,13.642313600000307,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,21,white,0,3,3,3,0,10,10,10,13.66912560000037,,,,,,,,,,,,,,,13.642701400000078,13.66912560000037,13.741652100000465,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,23,blue,0,3,3,3,0,11,11,11,13.754666499999985,,,,,,,,,,,,,,,13.741951599999993,13.754666499999985,13.842072000000371,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,25,yellow,0,3,3,3,0,12,12,12,13.868769800000337,,,,,,,,,,,,,,,13.842367900000681,13.868769800000337,13.941763200000423,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,27,orange,0,3,3,3,0,13,13,13,13.968992200000685,,,,,,,,,,,,,,,13.942060700000184,13.968992200000685,14.04177830000026,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,29,brown,0,3,3,3,0,14,14,14,14.068739800000003,,,,,,,,,,,,,,,14.042077300000528,14.068739800000003,14.141793900000266,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,31,purple,0,3,3,3,0,15,15,15,14.168704400000024,,,,,,,,,,,,,,,14.14206170000034,14.168704400000024,14.24141520000012,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,33,green,0,3,3,3,0,16,16,16,14.268671700000596,,,,,,,,,,,,,,,14.241739300000518,14.268671700000596,14.340748100000383,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,35,red,0,3,3,3,0,17,17,17,14.354418700000679,,,,,,,,,,,,,,,14.341038200000185,14.354418700000679,14.440817800000332,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,37,white,0,3,3,3,0,18,18,18,14.454310900000564,,,,,,,,,,,,,,,14.441104900000028,14.454310900000564,14.540663200000381,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
None,39,blue,0,3,3,3,0,19,19,19,14.554339600000276,,,,,,,,,,,,,,,14.540956499999993,14.554339600000276,14.640665400000216,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,4,4,4,0,0,0,0,15.667453300000489,,,,,,,,,,,,14.641054600000643,14.666604300000472,15.640409600000567,15.650534600000356,15.667453300000489,15.740307600000051,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,4,4,4,0,1,1,1,15.767163800000162,,,,,,,,,,,,,,,15.740597300000445,15.767163800000162,15.840508400000544,,,619168,001,2024-04-28_11h35.34.981,ArchivoPrueba,2024.1.1,None,2024-04-28 11h35.44.751028 -0500,
